Model,Feature,Accuracy,F1 Score
BERT,Fine-tuned,0.9566200750893382,0.9566564382259753
Random Forest,BoW,0.9544488171167503,0.954510416777276
Random Forest,TF-IDF,0.9539060026236034,0.953966702220491
BiLSTM (Optimized),BERT,0.9039670692540824,0.9042889089795302
Random Forest,BERT,0.9032885511376487,0.903277155275139
Random Forest,Word2Vec,0.8895372506445922,0.8895333190527303
Random Forest,GloVe,0.8734337540145656,0.8734494938093091
Logistic Regression,BoW,0.7571809833989234,0.7572256686996343
Logistic Regression,TF-IDF,0.7554168362961958,0.7556463128828773
Logistic Regression,BERT,0.5786854842357624,0.5800910705598299
Logistic Regression,Word2Vec,0.41204143483964356,0.41335816433699146
Logistic Regression,GloVe,0.40539195729859323,0.40700749354949245
